Region_Name,different_language_ratio,Language_Knowledge
Austria,87.98759941,73
Belgium,87.39991913,60
Brazil,77.57918857,5
Chile,72.75055604,9.53
Colombia,72.44014882,4.22
Costa Rica,81.54318991,8.2
Czech Republic,97.80651341,27
Denmark,93.1364488,86
Dominican Republic,74.86827373,60
Estonia,99.97658993,50
Finland,70.30003235,70
France,78.67906726,39
Germany,82.85483219,56
Greece,99.64317245,51
Italia,77.28755527,34
Latvia,99.40596105,46
Lithuania,99.92853314,38
Luxembourg,96.77576942,56
Mexico,71.67718106,11.6
Poland,94.40887463,37
Portugal,95.09867357,27
Slovakia,99.39793705,26
Spain,71.40122666,22
Sweden,91.56220515,86
Switzerland,86.30028038,61.28
The Netherlands,90.38580788,90
Turkey,72.96743584,17
