"","Track.Name","Region","week","Streams","Artist","Genre","Iterative_Genre"
"1","rockstar","global",1,28766763,"Post Malone","pop",""
"2","Shape of You","global",2,53773041,"Ed Sheeran","pop",""
"3","Shape of You","global",3,49253768,"Ed Sheeran","pop",""
"4","Shape of You","global",4,50497666,"Ed Sheeran","pop",""
"5","Shape of You","global",5,51854841,"Ed Sheeran","pop",""
"6","Shape of You","global",6,52095532,"Ed Sheeran","pop",""
"7","Shape of You","global",7,52674784,"Ed Sheeran","pop",""
"8","Shape of You","global",8,44048323,"Ed Sheeran","pop",""
"9","Shape of You","global",9,54537516,"Ed Sheeran","pop",""
"10","Shape of You","global",10,52303245,"Ed Sheeran","pop",""
"11","Shape of You","global",11,54248026,"Ed Sheeran","pop",""
"12","Shape of You","global",12,49743302,"Ed Sheeran","pop",""
"13","Shape of You","global",13,46810116,"Ed Sheeran","pop",""
"14","Shape of You","global",14,43528509,"Ed Sheeran","pop",""
"15","Shape of You","global",15,40543473,"Ed Sheeran","pop",""
"16","HUMBLE.","global",16,38910624,"Kendrick Lamar","conscious hip hop",""
"17","Despacito - Remix","global",17,43255538,"Luis Fonsi","dance pop",""
"18","Despacito - Remix","global",18,47659504,"Luis Fonsi","dance pop",""
"19","Despacito - Remix","global",19,49525027,"Luis Fonsi","dance pop",""
"20","Despacito - Remix","global",20,52084161,"Luis Fonsi","dance pop",""
"21","Despacito - Remix","global",21,45876009,"Luis Fonsi","dance pop",""
"22","Despacito - Remix","global",22,20972913,"Luis Fonsi","dance pop",""
"23","Despacito - Remix","global",23,48298664,"Luis Fonsi","dance pop",""
"24","Despacito - Remix","global",24,47222058,"Luis Fonsi","dance pop",""
"25","Despacito - Remix","global",25,45861262,"Luis Fonsi","dance pop",""
"26","Despacito - Remix","global",26,42369168,"Luis Fonsi","dance pop",""
"27","Despacito - Remix","global",27,40715651,"Luis Fonsi","dance pop",""
"28","Despacito - Remix","global",28,38828305,"Luis Fonsi","dance pop",""
"29","Despacito - Remix","global",29,35911779,"Luis Fonsi","dance pop",""
"30","Despacito - Remix","global",30,32267960,"Luis Fonsi","dance pop",""
"31","Mi Gente","global",31,31747586,"J Balvin","latin",""
"32","Mi Gente","global",32,32046995,"J Balvin","latin",""
"33","Mi Gente","global",33,31966128,"J Balvin","latin",""
"34","Mi Gente","global",34,31861862,"J Balvin","latin",""
"35","Look What You Made Me Do","global",35,38116258,"Taylor Swift","pop",""
"36","Look What You Made Me Do","global",36,32206827,"Taylor Swift","pop",""
"37","Mi Gente","global",37,28309145,"J Balvin","latin",""
"38","rockstar","global",38,39722471,"Post Malone","pop",""
"39","rockstar","global",39,45788007,"Post Malone","pop",""
"40","rockstar","global",40,44348711,"Post Malone","pop",""
"41","rockstar","global",41,44356405,"Post Malone","pop",""
"42","rockstar","global",42,46023206,"Post Malone","pop",""
"43","rockstar","global",43,43978631,"Post Malone","pop",""
"44","rockstar","global",44,41344147,"Post Malone","pop",""
"45","rockstar","global",45,39421074,"Post Malone","pop",""
"46","rockstar","global",46,37830200,"Post Malone","pop",""
"47","rockstar","global",47,36789691,"Post Malone","pop",""
"48","rockstar","global",48,36327445,"Post Malone","pop",""
"49","rockstar","global",49,34333970,"Post Malone","pop",""
"50","rockstar","global",50,32610783,"Post Malone","pop",""
"51","rockstar","global",51,31596127,"Post Malone","pop",""
"52","rockstar","global",52,28738917,"Post Malone","pop",""
"53","rockstar","global",53,5273727,"Post Malone","pop",""
