Artist,Artist_Genres
Mano Arriba,cumbia pop
CHANO,argentine telepop
Mueva Records,
Mano Arriba,cumbia pop
Mueva Records,
Los Bonnitos,argentine telepop
Agapornis,cumbia pop
Marama,cumbia pop
Khea,argentine hip hop
Marama,cumbia pop
Paulo Londra,argentine hip hop
Agapornis,cumbia pop
Marama,cumbia pop
El Polaco,cumbia pop
Charly García,argentine rock
Duki,argentine hip hop
Lali,argentine telepop
Marama,cumbia pop
Duki,argentine hip hop
Soda Stereo,argentine rock
Marama,cumbia pop
Soda Stereo,argentine rock
#TocoParaVos,cumbia pop
Pijama Party,cumbia pop
Soda Stereo,argentine rock
Charly García,argentine rock
Soda Stereo,argentine rock
Charly García,argentine rock
Paulo Londra,argentine hip hop
Soda Stereo,argentine rock
Jimena Baron,argentine telepop
Marama,cumbia pop
Soda Stereo,argentine rock
LOAN,cumbia pop
Cazzu,argentine hip hop
Harry Styles,dance pop
Rafaga,cumbia chilena
Luciano Pereyra,argentine telepop
Paulo,argentine hip hop
CHANO,argentine telepop
Marama,cumbia pop
Sia,australian dance
CantoParaBailar,cumbia pop
Harry Styles,dance pop
Charly García,argentine rock
Harry Styles,dance pop
Charly García,argentine rock
Harry Styles,dance pop
Abel Pintos,argentine rock
Soda Stereo,argentine rock
Agapornis,cumbia pop
Audioslave,alternative metal
La Nueva Luna,argentine rock
Oriana,argentine telepop
De La Calle,cumbia pop
Harry Styles,dance pop
Paulo,argentine hip hop
Agapornis,cumbia pop
Ecko,argentine hip hop
Soda Stereo,argentine rock
TINI,cumbia pop
Olvidate!,cumbia pop
Harry Styles,dance pop
Los Totora,cumbia pop
Marama,cumbia pop
aLee DJ,cumbia pop
Louis Tomlinson,dance pop
Soda Stereo,argentine rock
Lali,argentine telepop
Charly García,argentine rock
Gilda,argentine rock
Gilda,argentine rock
Soda Stereo,argentine rock
Soda Stereo,argentine rock
Charly García,argentine rock
Ozuna,NA
El Polaco,cumbia pop
Harry Styles,dance pop
Charly García,argentine rock
aLee DJ,cumbia pop
Marama,cumbia pop
La Nueva Luna,argentine rock
Natalie Perez,argentine telepop
Duki,argentine hip hop
Miranda!,latin
Los Bonnitos,argentine telepop
#TocoParaVos,cumbia pop
Charly García,argentine rock
Agapornis,cumbia pop
Luciano Pereyra,argentine telepop
Agapornis,cumbia pop
Agapornis,cumbia pop
Foo Fighters,alternative metal
Audioslave,alternative metal
Gustavo Cerati,argentine rock
Amar Azul,NA
Miley Cyrus,dance pop
Soda Stereo,argentine rock
Agapornis,cumbia pop
Soda Stereo,argentine rock
Los Turros,cumbia paraguaya
Marama,cumbia pop
No Te Va Gustar,cumbia pop
Soda Stereo,argentine rock
Charly García,argentine rock
Danny Paz,
Seven Kayne,argentine hip hop
El Pepo,cumbia pop
Gonzo Vizán,
Los Palmeras,argentine rock
Audioslave,alternative metal
Rodrigo,argentine rock
Pitbull,dance pop
Soda Stereo,argentine rock
The Strokes,alternative rock
Audioslave,alternative metal
Banda XXI,argentine rock
Julián Serrano,NA
La Reserva,cumbia pop
Felix Gabriel,
Robbie Williams,dance pop
Los Palmeras,argentine rock
Mano Arriba,cumbia pop
Wisin,dance pop
Soda Stereo,argentine rock
Banda XXI,argentine rock
Indio Solari y los Fundamentalistas del Aire Acondicionado,argentine rock
