Track.Name,Artist,Streams,Track_id,Date,Region,Artist_id
La Noche No Es para Dormir,Mano Arriba,87033,3gEebOzxHpEwElicl1XBy0,1/1/2017,ar,4YBAOrBF9vBB9inOLtpRzp
Carnavalintro,CHANO,71963,0tGAPnTFwRJA6FZgYZ0BAe,1/1/2017,ar,14lvrkdaXxggonwjKZpePM
Hellow Cotto,Mueva Records,99580,6iqyAmNK8VeMthNAASNPgA,1/9/2018,ar,79DSCFvlXAsjytJCUMZ4tb
Llamame Mas Temprano,Mano Arriba,69382,5aHJug2wnupoGfgfxRudsk,1/1/2017,ar,4YBAOrBF9vBB9inOLtpRzp
Rockstar,Mueva Records,81197,68SacsuDnx8EWFPm2u1o4A,1/9/2018,ar,79DSCFvlXAsjytJCUMZ4tb
Tu Ritmo,Los Bonnitos,54081,0BFgCEE7ozbyB1PpLpLyhM,1/1/2017,ar,7d1kmnhwauydKmuAvjgQrH
Le Hace Falta un Beso,Agapornis,45251,300xUYXWhFA6Q1sbNvVItP,1/1/2017,ar,27Yc5RzJf27tJfqezJnHY1
Loquita,Marama,43894,2xjcDF21U2ccgE2LEeiMbf,1/1/2017,ar,4GepMkTgrIZECoCC55vqjW
Vete,Khea,41132,2rZB6indPhp8C5AZK1PpkS,12/26/2017,ar,4m6ubhNsdwF4psNf3R8kwR
Era Tranquila,Marama,42785,5OqaLWo9WbNPWDilrwNwzt,1/1/2017,ar,4GepMkTgrIZECoCC55vqjW
Luna Llena,Paulo Londra,36638,1kK7yrknQvA2wEU5zyG41m,1/2/2018,ar,3vQ0GE3mI0dAaxIMYe5g7z
Baila,Agapornis,42127,3iS4VBJ3Bg1HyL3e6WNpgi,1/1/2017,ar,27Yc5RzJf27tJfqezJnHY1
Nena,Marama,41737,347TStOSY6IOqMB84Rpxwk,1/1/2017,ar,4GepMkTgrIZECoCC55vqjW
Deja De Llorar,El Polaco,40065,3tddzXTgneWrkV2cYNUBZe,1/1/2017,ar,3ucYybVr1mTuB04HtoBDCc
Rivalidad,Charly García,30444,6vuWyGYpQfhBC1WFW1fkOR,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
She Don't Give a FO (feat. Khea),Duki,35221,7ehmaSwhEZv4aaJzxsVMGY,11/8/2017,ar,1bAftSH8umNcGZ0uyV7LMg
Tu Novia,Lali,38509,7lVNnyDGPPGHo3XVvvuVZ5,11/17/2017,ar,22P1OY4TRFRwhP0q29loQ8
La Quiero Conocer,Marama,31552,2HNBSacyB6jm04n9dX2Mse,5/12/2017,ar,4GepMkTgrIZECoCC55vqjW
Rockstar,Duki,33129,1iidvirbvLhm05k83k4N64,11/28/2017,ar,1bAftSH8umNcGZ0uyV7LMg
Cae el Sol / Planta (SEP7IMO DIA),Soda Stereo,28999,0tkUZvL9ZbNLnzJ4jHeiOL,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Lo Intentamos,Marama,35965,4Kzk0koKwzCMiIx4rAqCZp,1/1/2017,ar,4GepMkTgrIZECoCC55vqjW
En el Séptimo Día (SEP7IMO DIA),Soda Stereo,26896,2OYXpaYf86alQxLNsv8zYD,2/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Hasta la luna,#TocoParaVos,35806,1A3yLIqelu1D7MCtw06Cu7,1/1/2017,ar,4PdggFNYwGfjRfkdG5OfES
Comerte a Besos (feat. Cande Buasso),Pijama Party,34879,4UHZMWgKDjJ1zS0t6f6qPv,1/1/2017,ar,1aOhJVEGjCbYJLYPCitGdm
Prófugos (SEP7IMO DIA),Soda Stereo,27556,70ivSNwJpoFzyU3vomPRYk,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Primavera,Charly García,26867,0VSzEeOuXTAI3kbG4TXBth,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
De Música Ligera (SEP7IMO DIA),Soda Stereo,26992,0v1p6H03NUVHhOu3nXD7GC,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Ella Es Tan Kubrick,Charly García,26781,2074PxLJhsulJcP0ivfUSj,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
Condenado Para el Millon,Paulo Londra,32334,5UjhWsB5rddZEPlNUcGDLV,12/5/2017,ar,3vQ0GE3mI0dAaxIMYe5g7z
"Ella Usó, Un Misil (SEP7IMO DIA)",Soda Stereo,26042,1tgb1PGMFHkMIOuwX7gGKv,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
La Tonta,Jimena Baron,32640,5hea2qfpEQwgbW4cPK2c6n,9/8/2017,ar,2VcOA5QxHanUnsQxVw2OP5
Pasarla Bien,Marama,33111,0ZzVPCGdkpKcxAzMNDD5UZ,1/1/2017,ar,4GepMkTgrIZECoCC55vqjW
Picnic en el 4to B / Te Hacen Falta Vitaminas / Mi Novia Tiene Bíceps (SEP7IMO DIA),Soda Stereo,25657,466XGyJj6LHJcpeR3RhhJX,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
No Llores,LOAN,32778,07GOnZWIiHWjLzUsaTv5yO,1/1/2017,ar,3ZAenYCCcWR3HrS2JQ0PdD
Loca,Cazzu,31829,0vnrhysrKKRdNYFKLAGzRc,11/24/2017,ar,6w3SkAHYPsQ1bxV7VDlG5y
Meet Me in the Hallway,Harry Styles,25791,4u9Y4Z9i9VaAbBK7rW1Rha,5/12/2017,ar,6KImCVD70vtIoJWnq6nGn3
Una Cerveza,Rafaga,30368,3LNZSTiwQYL7BnTfHvIOII,1/1/2017,ar,0CBKUzrf6yGdTgxAQbUUHS
Es Mi Culpa,Luciano Pereyra,29513,1GTPOqKjHVcnOto4JwGTtF,9/22/2017,ar,6ZZ2DeepA3GpoGU4KwqSlU
Luna Llena,Paulo,28390,3XHSkETwCxRKrbCfmzrUvk,11/19/2017,ar,2pmee4agt5Yr8nC4kykumi
Naistumichiu,CHANO,23635,6vBeZiyYQmb0eD1Fj3RThI,6/23/2017,ar,14lvrkdaXxggonwjKZpePM
Todo Comenzó Bailando,Marama,28728,2rrWhFrcSZcZQ2SDKPGKQ6,1/1/2017,ar,4GepMkTgrIZECoCC55vqjW
Cheap Thrills Remix,Sia,28288,59iNA6gwthoTJ6IgpBGGHW,1/1/2017,ar,5WUlDfRSoLAfcVSX1WnrxN
Se Pone Loca,CantoParaBailar,27694,0FVuUna31PTRmWGLs8W1o4,1/1/2017,ar,288dJOiQmxw6pTZ6fqpbiQ
Kiwi,Harry Styles,24294,33SNO8AaciGbNaQFkxvPrW,5/12/2017,ar,6KImCVD70vtIoJWnq6nGn3
Lluvia,Charly García,23403,2n2PrSqZeDQB19NSgO01YP,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
Carolina,Harry Styles,24066,3Dwq1oiOFys6Sxr5SslmXw,5/12/2017,ar,6KImCVD70vtIoJWnq6nGn3
Otro,Charly García,23366,7eFJEG6vPVRfvEB8QqKuKx,2/24/2017,ar,3jO7X5KupvwmWTHGtHgcgo
Only Angel,Harry Styles,23847,5Lbsc65org0b85kNsPkluY,5/12/2017,ar,6KImCVD70vtIoJWnq6nGn3
Pájaro Cantor,Abel Pintos,25525,16rQTTMtbn0ODLyflr0O6Q,1/1/2017,ar,6HTUcOExehqydqa7C3usAa
En Remolinos (SEP7IMO DIA),Soda Stereo,22997,3edjkiAggwnau6qjUVbIMh,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Si Te Vas,Agapornis,24819,3HoTiqEEY2SmTeq1XGINo3,1/1/2017,ar,27Yc5RzJf27tJfqezJnHY1
